ode,nom,validation,denomination
M1,MAIRIE D'HELLEMMES,3197.8986301369864,MAIRIE D'HELLEMMES
M1,PONT DE BOIS,6604.649315068493,PONT DE BOIS
M1,PORTE DES POSTES,3887.7424657534248,PORTE DES POSTES
M1,4 CANTONS STADE PIERRE MAUROY,3595.698630136986,4 CANTONS STADE PIERRE MAUROY
M1,GAMBETTA,6500.8876712328765,GAMBETTA
M1,CHU CENTRE OSCAR LAMBRET,3379.276712328767,C.H.U CENTRE O; LAMBRET
M1,TRIOLO,2019.3698630136987,TRIOLO
M1,FIVES,4834.506849315068,FIVES
M1,RIHOUR,9150.65205479452,RIHOUR
M1,MARBRERIE,2834.213698630137,MARBRERIE
M1,CITE SCIENTIFIQUE PR GABILLARD,5221.797260273973,CITE SCIENTIFIQUE PR GABILLARD
M1,SQUARE FLANDRES,920.0246575342466,SQUARE FLANDRES
M1,V D'ASCQ HOTEL DE VILLE,6831.049315068493,V. D'ASCQ HOTEL DE VILLE
M1,CAULIER,2927.246575342466,CAULIER
M1,CHU EURASANTE,7730.742465753425,C.H.U EURASANTE
M1,WAZEMMES,3443.539726027397,WAZEMMES
M1,REPUBLIQUE BEAUX ARTS,10788.660273972602,REPUBLIQUE BEAUX-ARTS
M1 et M2,GARE LILLE FLANDRES,36556.28493150685,GARE LILLE FLANDRES M1 et M2
M2,EUROTELEPORT,6285.479452054795,EUROTELEPORT
M2,C.H. DRON,1009.3972602739726,C.H. DRON
M2,JEAN LEBAS ROUBAIX,2298.5835616438358,JEAN LEBAS ROUBAIX
M2,PHALEMPINS,1231.9835616438356,PHALEMPINS
M2,ALSACE,968.0301369863014,ALSACE
M2,MAISON DES ENFANTS,994.0465753424658,MAISON DES ENFANTS
M2,CROIX CENTRE,1386.323287671233,CROIX CENTRE
M2,PONT DE NEUVILLE,1245.2630136986302,PONT DE NEUVILLE
M2,LILLE GRAND PALAIS,2681.2520547945205,LILLE GRAND PALAIS
M2,GARE DE TOURCOING,1440.164383561644,GARE DE TOURCOING
M2,CHARLES DE GAULLE,1323.2931506849316,CHARLES DE GAULLE
M2,ST MAURICE PELLEVOISIN,2703.3972602739727,ST MAURICE PELLEVOISIN
M2,FORT DE MONS,2295.0246575342467,FORT DE MONS
M2,MAIRIE DE LILLE,2539.860273972603,MAIRIE DE LILLE
M2,BOIS BLANCS,2207.2383561643837,BOIS BLANCS
M2,MAIRIE DE CROIX,1395.0684931506848,MAIRIE DE CROIX
M2,LOMME BOURG,1246.827397260274,LOMME BOURG
M2,MITTERIE,994.7123287671233,MITTERIE
M2,MONS SARTS,1986.5479452054794,MONS SARTS
M2,EPEULE MONTESQUIEU,1854.6849315068494,EPEULE MONTESQUIEU
M2,LILLE PORTE DE DOUAI,7126.860273972603,LILLE PORTE DE DOUAI
M2,WASQUEHAL HOTEL DE VILLE,940.654794520548,WASQUEHAL HOTEL DE VILLE
M2,COLBERT,1886.7369863013698,COLBERT
M2,MONTEBELLO,1679.7945205479452,MONTEBELLO
M2,PORTE DES POSTES,3209.917808219178,PORTE DES POSTES
M2,PORTE DE VALENCIENNES,2443.3068493150686,PORTE DE VALENCIENNES
M2,GARE LILLE EUROPE,4020.7287671232875,GARE LILLE EUROPE
M2,LOMME SAINT PHILIBERT,3291.621917808219,LOMME SAINT PHILIBERT
M2,WASQUEHAL PAVE DE LILLE,1123.123287671233,WASQUEHAL PAVE DE LILLE
M2,JEAN JAURES,1244.7452054794521,JEAN JAURES
M2,PORT DE LILLE,1854.2109589041097,PORT DE LILLE
M2,BOURGOGNE,810.6767123287672,BOURGOGNE
M2,MAIRIE DE MONS,1910.5534246575342,MAIRIE DE MONS
M2,CANTELEU,2222.9945205479453,CANTELEU
M2,LILLE PORTE D'ARRAS,4004.5342465753424,LILLE PORTE D'ARRAS
M2,CARLIERS,879.7150684931507,CARLIERS
M2,MERCURE,483.758904109589,MERCURE
M2,LOMME LAMBERSART ARTHUR NOTEBART,2490.7424657534248,LOMME LAMBERSART ARTHUR NOTEBART
M2,PONT SUPERIEUR,871.2986301369863,PONT SUPERIEUR
M2,TOURCOING CENTRE,3571.619178082192,TOURCOING CENTRE
M2,LES PRES   EDGAR PISANI,1481.7150684931507,LES PRES - EDGAR PISANI
M2,ROUBAIX GRAND PLACE,1875.123287671233,ROUBAIX GRAND PLACE
M2,CORMONTAIGNE,4742.7479452054795,CORMONTAIGNE
TRAM,MA CAMPAGNE,342.72328767123287,MA CAMPAGNE
TRAM,VILLA CAVROIS,386.0904109589041,VILLA CAVROIS
TRAM,VICTOIRE,309.2082191780822,VICTOIRE
TRAM,BOL D'AIR,123.11232876712329,BOL D'AIR
TRAM,CROISE LAROCHE,1087.4246575342465,CROISE LAROCHE
TRAM,HOPITAL VICTOR PROVO,448.94246575342464,HOPITAL VICTOR PROVO
TRAM,BROSSOLETTE,565.7260273972603,BROSSOLETTE
TRAM,CHATEAU ROUGE,362.6246575342466,CHATEAU ROUGE
TRAM,FAIDHERBE,277.14520547945204,FAIDHERBE
TRAM,WASQUEHAL PAVE DE LILLE,482.027397260274,WASQUEHAL PAVE DE LILLE
TRAM,CLEMENCEAU HIPPODROME,681.2465753424658,CLEMENCEAU HIPPODROME
TRAM,ACACIAS,185.47671232876712,ACACIAS
TRAM,FOCH,155.7041095890411,FOCH
TRAM,PLANCHE EPINOY,147.2876712328767,PLANCHE EPINOY
TRAM,TOURCOING CENTRE,1043.7917808219179,TOURCOING CENTRE
TRAM,ROMARIN,1652.2986301369863,ROMARIN
TRAM,GARE LILLE FLANDRES,7305.194520547945,GARE LILLE FLANDRES
TRAM,PONT DE WASQUEHAL,126.88493150684931,PONT DE WASQUEHAL
TRAM,GRAND COTTIGNIES,289.32876712328766,GRAND COTTIGNIES
TRAM,LA MARQUE,145.2219178082192,LA MARQUE
TRAM,LA TERRASSE,130.86849315068494,LA TERRASSE
TRAM,LE QUESNE,182.4958904109589,LE QUESNE
TRAM,LE SART,192.51232876712328,LE SART
TRAM,PARC BARBIEUX,333.2986301369863,PARC BARBIEUX
TRAM,BUISSON,1597.6246575342466,BUISSON
TRAM,EUROTELEPORT,855.9506849315069,EUROTELEPORT
TRAM,SAINT MAUR,1597.3397260273973,SAINT MAUR
TRAM,JEAN MOULIN,162.74246575342465,JEAN MOULIN
TRAM,TRIEZ,163.27123287671233,TRIEZ
TRAM,CERISAIE CENTRE D'AFFAIRES,176.82739726027398,CERISAIE CENTRE D'AFFAIRES
TRAM,TROIS SUISSES,496.94794520547947,TROIS SUISSES
TRAM,BOTANIQUE,838.1616438356165,BOTANIQUE
TRAM,GARE LILLE EUROPE,772.7260273972603,GARE LILLE EUROPE
TRAM,PONT HYDRAULIQUE,158.53424657534248,PONT HYDRAULIQUE
TRAM,ALFRED MONGY,227.4931506849315,ALFRED MONGY
TRAM,CARTELOT,447.27671232876713,CARTELOT
